Iter number - point - function value
0 - [1. 1. 1. 1. 1.] - 53100.0
86 - ['0.33', '1.00', '1.01', '1.03', '1.10'] - 17.4056
87 - ['0.33', '1.00', '1.01', '1.03', '1.10'] - 17.1327
88 - ['0.33', '1.00', '1.01', '1.03', '1.10'] - 16.8690
89 - ['0.33', '1.00', '1.01', '1.03', '1.10'] - 16.6143
90 - ['0.33', '1.00', '1.01', '1.03', '1.10'] - 16.3681
91 - ['0.33', '1.00', '1.01', '1.03', '1.10'] - 16.1300
92 - ['0.33', '1.00', '1.01', '1.04', '1.10'] - 15.8998
93 - ['0.33', '1.00', '1.01', '1.04', '1.10'] - 15.6770
94 - ['0.33', '1.00', '1.01', '1.04', '1.10'] - 15.4614
95 - ['0.33', '1.00', '1.01', '1.04', '1.10'] - 15.2527
96 - ['0.33', '1.00', '1.01', '1.04', '1.10'] - 15.0506
97 - ['0.33', '1.00', '1.01', '1.04', '1.10'] - 14.8548
98 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 14.6651
99 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 14.4812
100 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 14.3030
101 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 14.1302
102 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 13.9626
103 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 13.7999
104 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 13.6421
105 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 13.4889
106 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 13.3402
107 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 13.1957
108 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 13.0555
109 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 12.9191
110 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 12.7867
111 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 12.6579
112 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 12.5328
113 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 12.4111
114 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 12.2927
115 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 12.1775
116 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 12.0655
117 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.9564
118 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.8503
119 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.7470
120 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.6464
121 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.5484
122 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.4529
123 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.3599
124 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.2693
125 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.1810
126 - ['0.32', '1.00', '1.01', '1.04', '1.10'] - 11.0949
127 - ['0.31', '1.00', '1.01', '1.04', '1.10'] - 11.0110
128 - ['0.31', '1.00', '1.01', '1.04', '1.10'] - 10.9291
129 - ['0.31', '1.00', '1.01', '1.04', '1.10'] - 10.8493
130 - ['0.31', '1.00', '1.01', '1.04', '1.10'] - 10.7714
131 - ['0.31', '1.00', '1.01', '1.04', '1.10'] - 10.6955
